==== FILE = /Users/maksimus/RiderProjects/CompGraph/Assets/cow.obj
(-0,115679|0,071499|0,177464) (-0,177262|0,074682|0,195621) (-0,054211|0,046057|0,193196)
(-0,204198|0,121943|0,133202) (-0,19389|0,091537|0,162192) (-0,117231|0,09811|0,145375)
(-0,146111|0,153352|0,078733) (-0,204198|0,121943|0,133202) (-0,088139|0,13562|0,090711)
(-0,130283|0,169225|0,030424) (-0,146111|0,153352|0,078733) (-0,078387|0,154053|0,048756)
(-0,129972|0,171141|-0,013359) (-0,130283|0,169225|0,030424) (-0,078387|0,154053|0,048756)
(-0,127114|0,165559|-0,046513) (-0,129972|0,171141|-0,013359) (-0,075561|0,158633|-0,005371)
(-0,125333|0,151405|-0,074486) (-0,127114|0,165559|-0,046513) (-0,065319|0,149842|-0,034888)
(-0,129776|0,128434|-0,098734) (-0,125333|0,151405|-0,074486) (-0,080772|0,140516|-0,069519)
(-0,130119|0,093058|-0,116734) (-0,129776|0,128434|-0,098734) (-0,085623|0,122712|-0,09232)
(-0,218654|0,143061|0,085118) (-0,228357|0,118817|0,147829) (-0,204198|0,121943|0,133202)
(-0,22558|0,152101|0,04244) (-0,218654|0,143061|0,085118) (-0,18538|0,152012|0,076005)
(-0,216824|0,155564|-0,029951) (-0,22558|0,152101|0,04244) (-0,18195|0,170025|0,010615)
(-0,216563|0,129119|-0,070908) (-0,216824|0,155564|-0,029951) (-0,185952|0,162579|-0,04842)
(0,07173|0,117332|-0,059458) (0,092508|0,130043|0,003302) (0,124736|0,120147|-0,021366)
(0,07338|0,053783|0,198612) (0,111472|0,060658|0,192257) (0,119215|0,08718|0,15789)
(0,075095|0,075108|0,178305) (0,119215|0,08718|0,15789) (0,120751|0,108656|0,116141)
(0,086398|0,118236|0,086888) (0,120751|0,108656|0,116141) (0,131564|0,126944|0,07319)
(0,092687|0,125137|0,051445) (0,131564|0,126944|0,07319) (0,137363|0,130313|0,033758)
(0,092508|0,130043|0,003302) (0,134161|0,127904|0,01258) (0,124736|0,120147|-0,021366)
(0,140271|0,11132|-0,053895) (0,118072|0,120713|-0,065325) (0,124736|0,120147|-0,021366)
